JudgementNo,CropID,JudgementYear,JudgementRegionID,ApplyCompany,IsTransgenosis,VarietySource,VarietyCharacter,OutputExpression,PlantRequirment,JudgementSuggestion
豫审麦20210026,小麦,2021,河南省,河南丰皇种业有限公司,否,百农AK58/周麦23,半冬性品种，全生育期209.4～216.5天，平均熟期比对照品种郑麦113晚熟0.4天。幼苗半直立，叶色深绿，苗势壮，分蘖力较弱，成穗率一般。株高79.2～88.4厘米，株型较紧凑，抗倒性一般。旗叶上冲，穗层较整齐，熟相好。穗纺锤形，长芒，白壳，白粒，籽粒半角质，饱满度较好。亩穗数34.4～37.0万，穗粒数33.2～35.6粒，千粒重46.1～48.7克。抗病鉴定：中抗条锈病，中感白粉病和纹枯病，高感叶锈病和赤霉病。品质结果：2019年、2020年检测，蛋白质含量14.7%、14.3%，容重742克/升、792克/升，湿面筋含量30.8%、34.3%，吸水量55.9毫升/100克、58.0毫升/100克，稳定时间2.6分钟、3.1分钟，拉伸面积27平方厘米、36平方厘米，最大拉伸阻力105EU、191EU。,2018～2019年度河南省南部及弱筋组区试，6点汇总，增产点率100.0%，平均亩产423.2公斤，比对照品种郑麦113增产6.3%；2019～2020年度续试，9点汇总，增产点率88.9%，平均亩产426.0公斤，比对照品种郑麦113增产4.6%；2019～2020年度生产试验，10点汇总，增产点率90.0%，平均亩产449.9公斤，比对照品种郑麦113增产6.2%。,适宜播种期10月中下旬，每亩适宜基本苗18～20万。注意防治蚜虫、叶锈病、赤霉病、白粉病和纹枯病等病虫害，高水肥地块种植注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省南部长江中下游麦区种植。
豫审麦20220034,小麦,2022,河南省,河南丰皇种业有限公司,否,丰德存麦1号/洛麦24,半冬性品种，全生育期209.6～212.2天，平均熟期比对照品种百农207早熟1.1天。幼苗匍匐，叶色浅绿，苗势壮，分蘖力强，成穗率中等。春季起身拔节慢，抽穗较晚。株高86.7～87.0厘米，株型略松散，抗倒性中等。穗纺锤形，长芒，白壳，白粒，籽粒角质，饱满度好。亩穗数34.6～36.7万，穗粒数33.0～34.0粒，千粒重43.8～49.4克。抗病鉴定：中感条锈病、叶锈病、白粉病和纹枯病，高感赤霉病。品质结果：2020年、2021年检测，蛋白质含量14.8%、12.8%，容重788克/升、779克/升，湿面筋含量30.0%、29.2%，吸水量57.3毫升/100克、56.3毫升/100克，稳定时间4.1分钟、3.3分钟，拉伸面积59平方厘米、50平方厘米，最大拉伸阻力320EU、243EU。,2019～2020年度河南省南部及弱筋组区试，增产点率100.0%，平均亩产430.7公斤，比对照品种百农207增产9.2%；2020～2021年度续试，增产点率100.0%，平均亩产403.7公斤，比对照品种百农207增产11.9%；2020～2021年度生产试验，增产点率90.0%，平均亩产423.7公斤，比对照品种百农207增产8.8%。,适宜播种期10月中下旬，每亩适宜基本苗16～20万。注意防治蚜虫、赤霉病、条锈病、叶锈病、白粉病和纹枯病等病虫害，预防倒春寒，高水肥地块种植注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省南部长江中下游麦区种植。
豫审麦2006022,小麦,2006,河南省,信阳市农业科学研究所,否,偃展1号/豫麦18,"弱春性多穗型早熟品种,全生育期197天,比对照豫麦18早熟2天。幼苗直立,生长健壮;分蘖力强,成穗率高;株型半紧凑,叶片宽大上举,穗下节长,株高75cm,茎秆弹性好,抗倒性好;穗纺锤型,中穗,受倒春寒影响顶部有少量不育小穗;成熟期较早,落黄好;籽粒半角质,白粒,饱满度较好,容重高,黑胚率低。成产三要素为:亩成穗数39万左右,穗粒数31粒左右,千粒重43g左右。","2003-2004年度省南部组区试,8点汇总,5点增产,3点减产,平均亩产422.7kg,比对照豫麦18增产1.68%,不显著,居9个参试品种第1位,其中信阳组平均亩产408.4kg,比对照豫麦18增产2.92%,不显著,居9个参试品种第3位;2004-2005年度信阳组区试,5点汇总,3点增产,2点减产,平均亩产319.5kg,比对照豫麦18增产6.96%,不显著,居12个参试品种的第3位;南阳组5点汇总,2点增产,3点减产,平均亩产365.8kg,比对照豫麦18减产0.68%,不显著,居11个参试品种","1.播期和播量:播期10月12日—11月5日,最佳播期10月15—25日;高肥力田块亩播量9-10kg,中低肥力田块及稻茬可适当增加播量,一般亩播量10-13kg,如延期播种,以每推迟3天增加0.5kg播量为宜。2.田间管理:施足底肥:一般亩施纯氮9-12kg、五氧化二磷7-8kg、氧化钾7-8kg,尽量多施农家肥,一般每亩2-3方;春节前后视苗情长势酌情追肥,一般亩追尿素6-10kg;中后期做好病虫害防治,孕穗至扬花前喷施多菌灵等广谱杀菌药防治赤霉病。",
豫审麦2004021,小麦,2004,河南省,舞阳县种子公司,否,豫麦57中系选,"半冬性大穗型中早熟品种。幼苗直立,长势健壮,分蘖力适中,抽穗早,亩成穗较多;株型松紧适中,株高73-78厘米,茎杆弹性好,较抗倒伏;旗叶上冲,前期长相清秀,后期有轻微早衰,穗层整齐,活杆成熟;中大穗,籽粒白色,饱满度好,黑胚率高;亩穗数37-42万,穗粒数38-40粒,千粒重42g左右;丰产稳产性好。","2002-2003年度参加河南省高肥冬水组区域试验,平均亩产536.9公斤,比对照豫麦49增产4.15%,居14个参试品种第2位;2003-2004年度参加河南省高冬Ⅱ组区域试验,平均亩产562.6公斤,比对照豫麦49增产2.70%,居13个参试品种第6位。2003-2004年度参加河南省高冬Ⅱ组生产试验,平均亩产507公斤,比对照豫麦49增产5.6%,居5个参试品种第3位。","(1)播期:10月5日至11月上旬,最佳播期10月5-20日。(2)播量:高水肥地每亩6-7公斤,中水肥地7-9公斤为宜,随播期推迟适当增加播量。(3)施足底肥,氮、磷、钾、锌、有机肥配合施用,氮肥分底肥和拔节末期两次施入,适当浇拔节水。(4)田间管理:注意搞好“一喷三防”,及时防治白粉病、条锈病和纹枯病。",
豫审麦20180036,小麦,2018,河南省,河南丰玉种业有限公司,否,偃展4110/豫麦34,弱春性品种，全生育期222～223天，平均比对照品种偃展4110熟期略早。幼苗直立，分蘖力一般。春季发育快，耐倒春寒能力弱。株高65.4～74.2厘米，株型松紧适中，茎秆弹性一般，抗倒性一般。旗叶宽厚、上冲，穗下节长，穗层整齐。叶功能期较长，耐后期高温，熟相好。穗纺锤形，长芒，白壳，白粒，籽粒半角质，饱满度中等。亩穗数40.3～45.2万，穗粒数33.3～33.9粒，千粒重43.1～44.9克。抗病鉴定：中感条锈病、叶锈病和纹枯病，高感白粉病和赤霉病。品质结果：2015年检测，蛋白质含量13.08%，容重811克/升，湿面筋含量27.8%，降落数值477秒，沉淀指数74毫升，吸水量65.4毫升/100克，形成时间3.2分钟，稳定时间3.9分钟，弱化度92FU，出粉率71.2%，硬度64HI；2016年检测，蛋白质含量13.13%，容重780克/升，湿面筋含量33.6%，降落数值389秒，沉淀指数69毫升，吸水量61.8毫升/100克，形成时间4.4分钟，稳定时间6.9分钟，弱化度50FU，出粉率70.0%，硬度65HI，延伸性177毫米，最大拉伸阻力249EU，拉伸面积61平方厘米。,2014～2015年度参加河南省小麦春水组区域试验，平均亩产539.2千克，与试验产量平均值相比，增产点率81.8%，增产4.2%；2015～2016年度续试，增产点率84.6%，平均亩产512.8千克，比对照增产7.8%；2016～2017年度生产试验，增产点率100%，平均亩产507.7千克，比对照增产8.3%。,适宜播种期10月中下旬，每亩适宜基本苗14～18万。注意防治蚜虫、条锈病、叶锈病、白粉病、赤霉病和纹枯病等病虫害，高水肥地块注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）中晚茬地种植。
豫审麦20220044,小麦,2022,河南省,河南三农种业有限公司,否,西农979/西农889,半冬性品种，全生育期223.4～230.6天，平均熟期比对照品种周麦18早熟1.0天。幼苗半直立，叶色青绿，苗势较弱，分蘖力较强，成穗率中等，冬季抗寒性较好。春季起身拔节略晚，两极分化较快。株高70.5～71.7厘米，株型半紧凑，抗倒性一般。旗叶上举而内卷，穗下节较短。穗纺锤形，短芒，白壳，白粒，籽粒角质，饱满度较好。亩穗数35.6～41.9万，穗粒数30.1～37.4粒，千粒重40.4～41.9克。抗病鉴定：中抗条绣病，中感白粉病和纹枯病，高感叶锈病和赤霉病。品质结果：2018年、2019年检测，蛋白质含量16.9%、14.2%，容重790克/升、807克/升，湿面筋含量35.6%、31.6%，吸水量62.0毫升/100克、63.6毫升/100克，稳定时间7.9分钟、8.0分钟，拉伸面积102平方厘米、78平方厘米，最大拉伸阻力383EU、372EU。2018年品质达到中强筋小麦标准。,2017～2018年度河南省强筋组区试，达标点率63.6%，平均亩产363.0公斤，比对照品种周麦18减产7.9%；2018～2019年度续试，达标点率70.0%，平均亩产588.9公斤，比对照品种周麦18增产2.1%；2019～2020年度生产试验，达标点率81.8%，平均亩产518.0公斤，比对照品种周麦18减产1.1%。,适宜播种期10月上中旬，每亩适宜基本苗18～20万。注意防治蚜虫、赤霉病、叶锈病、白粉病和纹枯病等病虫害，预防倒春寒，高水肥地块种植注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）高中水肥地块早中茬地种植。
豫审麦20210027,小麦,2021,河南省,洛阳太学农作物研究所、河南福满多农业科技有限公司,否,西农979/偃大428,弱春性品种，全生育期208.0～215.8天，平均熟期比对照品种郑麦113早熟0.9天。幼苗半直立，叶色青绿，苗势壮，分蘖力较强，成穗率中等。两极分化快。株高76.0～82.3厘米，株型较紧凑，抗倒性一般。旗叶上冲，穗层整齐，熟相好。穗纺锤形，长芒，白壳，白粒，籽粒半角质，饱满度好。亩穗数35.1～35.8万，穗粒数33.8～34.7粒，千粒重45.1～47.8克。抗病鉴定：中抗白粉病和纹枯病，中感条锈病，高感叶锈病和赤霉病。品质结果：2019年、2020年检测，蛋白质含量13.0%、14.3%，容重794克/升、804克/升，湿面筋含量29.8%、36.4%，吸水量59.9毫升/100克、64.3毫升/100克，稳定时间2.7分钟、3.6分钟，拉伸面积29平方厘米、48平方厘米，最大拉伸阻力111EU、226EU。,2018～2019年度河南省南部及弱筋组区试，6点汇总，增产点率100.0%，平均亩产432.8公斤，比对照品种郑麦113增产6.7%；2019～2020年度续试，9点汇总，增产点率88.9%，平均亩产427.2公斤，比对照品种郑麦113增产4.9%；2019～2020年度生产试验，10点汇总，增产点率100.0%，平均亩产448.4公斤，比对照品种郑麦113增产5.8%。,适宜播种期10月中下旬，每亩适宜基本苗16～24万。注意防治蚜虫、叶锈病、赤霉病和条锈病等病虫害，高水肥地块种植注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省南部长江中下游麦区种植。
豫审麦20220043,小麦,2022,河南省,中粮（新乡）小麦有限公司、河南怀川种业有限责任公司,否,师栾02-1/洲元9369,半冬性品种，全生育期227.3～231.7天，平均熟期比对照品种百农207早熟0.1天。幼苗半直立，叶色深绿，苗势壮，分蘖力一般，成穗率低，冬季抗寒性较好。春季起身拔节晚，两极分化慢，耐倒春寒能力一般。株高75.9～76.9厘米，株型紧凑，抗倒性中等。旗叶宽大、下披，穗下节较长，熟相较好。穗纺锤形，长芒，白壳，白粒，籽粒角质，饱满度较好。亩穗数34.6～35.6万，穗粒数40.1～43.6粒，千粒重41.4～42.8克。抗病鉴定：中感条锈病、叶锈病、白粉病和纹枯病，高感赤霉病。品质结果：2019年、2020年检测，蛋白质含量15.1%、14.8%，容重800克/升、822克/升，湿面筋含量30.8%、32.6%，吸水量60.2毫升/100克、61.3毫升/100克，稳定时间14.3分钟、12.4分钟，拉伸面积100平方厘米、121平方厘米，最大拉伸阻力481EU、572EU。2019年、2020年品质达到强筋小麦标准。,2018～2019年度河南省强筋组区试，达标点率100.0%。平均亩产569.1公斤，比对照品种百农207增产3.6%；2019～2020年度续试，达标点率100.0%，平均亩产529.1公斤，比对照品种百农207增产2.8%；2019～2020年度生产试验，达标点率100.0%，平均亩产518.6公斤，比对照品种百农207增产1.1%。,适宜播种期10月上中旬，每亩适宜基本苗20～25万。注意防治蚜虫、赤霉病、条绣病、叶锈病、白粉病和纹枯病等病虫害，预防倒春寒，高水肥地块种植注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）高中水肥地块早中茬地种植。
豫审麦2006013,小麦,2006,河南省,河南省科学院同位素研究所,否,豫麦57诱变,"半冬性多穗型中熟品种,全生育期217天,与对照豫麦49熟期相当。幼苗半匍匐,苗期长势壮,抗倒春寒能力弱,两极分化快,起身拔节早,分蘖成穗率高;株型略松散,旗叶宽大上举,叶色淡绿,株高85cm,茎杆有弹性,抗倒性一般;中后期长相清秀,灌浆速度快,成熟落黄好;穗层较厚,穗长方型,中穗,小穗排列密,穗粒数相对较多;籽粒稍长,半角质。成产三要素为:亩成穗数36万左右,穗粒数35粒左右,千粒重43g左右。","2002-2003年度省高肥冬水1组区试,7点汇总,4点增产,3点减产,平均亩产527.0kg,比对照豫麦49增产2.23%,不显著,居14个参试品种第5位;2003-2004年度省高肥冬水Ⅱ组区试,9点汇总,6点增产,3点减产,平均亩产563.9kg,比对照豫麦49增产2.94%,不显著,居13个参试品种第5位。2004-2005年度省高肥冬水组生试,11点汇总,11点增产,平均亩产485.8kg,比对照豫麦49增产4.7%,居7个参试品种第2位;2005~2006年度省高肥冬水Ⅱ组生试,9点汇总,9点","1.播期和播量:10月8-25日均可播种,以10月15日前后最佳;高肥力地块适期播种量为4-6kg/亩,中等肥力为7.5kg/亩,如延期播种或肥力较低,可酌情增加。2.田间管理:施足底肥,一般秸秆还田每亩增施4-5方优质有机肥,加施纯氮15kg、五氧化二磷7.5kg、氧化钾7.5kg;越冬和拔节后根据苗情适量追施5-7.5kg尿素;中后期重点喷施粉锈宁2次防白粉病,开花期连阴多雨年份要及时喷施多菌灵预防赤霉病。",
豫审麦20210003,小麦,2021,河南省,河南富吉泰种业有限公司,否,豫教5号/周麦16//周麦22,半冬性品种，全生育期216.9～231.7天，平均熟期与对照品种周麦18相当。幼苗半直立，叶色浓绿，苗势壮，分蘖力一般，成穗率中等。春季起身拔节晚，两极分化慢。株高74.5～80.1厘米，株型松紧适中，抗倒性中等。旗叶宽短，穗下节短，熟相一般。穗长方形，长芒，白壳，白粒，籽粒半角质，饱满度一般。亩穗数35.9～40.8万，穗粒数32.1～35.2粒，千粒重45.2～52.9克。抗病鉴定：中感条锈病、叶锈病和白粉病，高感纹枯病和赤霉病。品质结果：2018年、2019年检测，蛋白质含量15.8%、15.0%，容重780克/升、796克/升，湿面筋含量29.6%、27.6%，吸水量56.4毫升/100克、57.6毫升/100克，稳定时间5.9分钟、4.8分钟，拉伸面积88平方厘米、53平方厘米，最大拉伸阻力366EU、260EU。,2017～2018年度河南省冬水组区试，15点汇总，增产点率86.7%，平均亩产443.2公斤，比对照品种周麦18增产4.3%；2018～2019年度续试，14点汇总，增产点率100.0%，平均亩产613.7公斤，比对照品种周麦18增产6.4%；2019～2020年度生产试验，16点汇总，增产点率100.0%，平均亩产573.7公斤，比对照品种周麦18增产6.0%。,适宜播种期10月上中旬，每亩适宜基本苗14～22万。注意防治蚜虫、纹枯病、赤霉病、条锈病、叶锈病和白粉病等病虫害，预防倒春寒，高水肥地块种植注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）高中水肥地块早中茬地种植。
豫审麦20200047,小麦,2020,河南省,郑州市新育农作物研究所、河南富吉泰种业有限公司,否,石龙麦/1016//周麦16,半冬性品种，全生育期212.1～233.6天，平均熟期比对照品种周麦18早熟0.4天。幼苗半直立，叶色浅绿，苗势壮，分蘖力较强。春季起身拔节早，两极分化快，抽穗早。株高73.3～77.4厘米，株型松散，抗倒性较好。旗叶大，穗下节短，穗层整齐，熟相好。穗长方形，中短芒，白壳，白粒，籽粒半角质，饱满度较好。亩穗数36.7～40.0万，穗粒数32.2～35.0粒，千粒重44.7～48.4克。,"2017～2018年度河南炎黄小麦新品种测试联合体冬水组区试，11点汇总，增产点率81.8%，平均亩产458.0公斤，比对照品种周麦18增产5.3%；2018～2019年度续试, 14点汇总，增产点率78.6%，平均亩产577.6公斤，比对照品种周麦18增产4.2%；2018～2019年度生产试验，11点汇总，增产点率90.9%，平均亩产562.2公斤，比对照品种周麦18增产4.3%。",适宜播种期10月上中旬，每亩适宜基本苗16～18万。注意防治蚜虫、赤霉病、叶锈病和纹枯病等病虫害，注意预防倒春寒。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）早中茬地种植。
豫审麦20200032,小麦,2020,河南省,河南富吉泰种业有限公司,否,新麦26/周麦32,半冬性品种，全生育期224.4～232.1天，平均熟期比对照品种周麦18晚熟0.6天。幼苗半直立，叶色深绿，苗势壮，分蘖力较强。春季起身拔节早，抽穗早，耐倒春寒能力一般。株高75.1～77.8厘米，株型紧凑，抗倒性中等。旗叶长，穗层较整齐，熟相好。穗纺锤形，长芒，白壳，白粒，籽粒角质，饱满度较好。亩穗数36.6～39.8万，穗粒数30.4～35.2粒，千粒重37.9～48.1克。,2017～2018年度河南省强筋组区试，11点汇总，达标点率90.9%，平均亩产423.4公斤，比对照品种周麦18增产8.6%；2018～2019年度续试，10点汇总，达标点率100.0%，平均亩产598.9公斤，比对照品种周麦18增产3.8%；2018～2019年度生产试验，10点汇总，达标点率100.0%，平均亩产607.1公斤，比对照品种周麦18增产6.4%。,适宜播种期10月上中旬，每亩适宜基本苗14～22万。注意防治蚜虫、叶锈病、赤霉病、白粉病和纹枯病等病虫害，注意预防倒春寒。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）早中茬地种植。
豫审麦20190037,小麦,2019,河南省,河南德宏种业股份有限公司,否,Z51/百农AK58,弱春性品种，全生育期210.9～222.0天，平均熟期比对照品种偃展4110晚熟0.3天。幼苗半匍匐，叶色浅绿，苗势较壮，分蘖力弱，成穗率中等。春季起身拔节早，两极分化快，抽穗晚。株高71.3～75.9厘米，株型稍松散，抗倒性较好。旗叶宽大，穗下节较短，穗层整齐，熟相好。穗长方形，长芒，白壳，白粒，籽粒半角质，饱满度一般。亩穗数36.4～37.8万，穗粒数33.7～36.1粒，千粒重40.2～43.0克。,2016～2017年度河南省春水组区试，12点汇总，达标点率91.7%，平均亩产509.2公斤，比对照品种偃展4110增产13.3%；2017～2018年度续试，14点汇总，达标点率100%，平均亩产430.4公斤，比对照品种偃展4110增产9.1%；2017～2018年度生产试验，15点汇总，达标点率93.3%，平均亩产439.5公斤，比对照品种偃展4110增产6.9%。,适宜播种期10月中下旬，每亩适宜基本苗20～24万。注意防治蚜虫、白粉病、纹枯病、赤霉病、条锈病和叶锈病等病虫害，注意预防倒春寒。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）中晚茬地种植。
豫引麦2005001号,小麦,2005,河南省,河北省藁城市农科所,否,,属半冬性中晚熟优质品种，在我省全生育期230天左右。幼苗半匍匐，长势健壮，苗色黄绿，耐寒性较好，起身拨节快，苗脚利落，分蘖率较高，成穗率中等；株型松散，株高75cm，抗倒性较好，旗叶有干尖，落黄一般；穗纺锤，穗层较厚，短芒，籽粒角质、长粒，黑胚率低，籽粒外观商品性好；产量三要素为：亩成穗42.3万，穗粒数35.5粒，千粒重36g左右。田间自然鉴定中抗条锈、叶锈及纹枯病，中感白粉病。2002、2003年河北省农作物品种品质检测中心检测：蛋白质16.36/15.22%、沉降值55.6/56.2ml、湿面筋30.8/29.5%、吸水率59.8/55.6%、形成时间11.8/22.7分、稳定时间21.7/25.0分、评价值u003e80/60。,今年全省引种试验，10点汇总平均亩产457.6公斤，比对照品种郑麦9023增产2.37%；比第二对照豫麦49减产3.89%。,,
豫引麦2011005号,小麦,2011,河南省,藁城市农业科学研究所,否,9411/98172rn,"属半冬性多穗型中熟强筋品种，平均全生育期229.6天，比对照周麦18早熟0.4天。幼苗半匍匐，苗势壮，叶片窄短，青绿色；冬前分蘖力较强，冬季抗寒性一般；春季起身拔节快，两极分化快，苗脚利索，株型较紧凑，腊质层厚，叶片窄长，内卷，上冲，2010-2011两年平均株高74.1-76cm,茎秆弹性好，较抗倒；长方形穗、短芒，码稀，籽粒灌浆慢，成熟落黄一般，受倒春寒影响有缺粒现象；籽粒角质、饱满，黑胚率低，容重高。田间自然发病较轻，中抗条锈病及白粉病。本年度成产三要素为：亩穗数48.0万，穗粒数29.3粒，千粒重42.7g。2010年经农业部农产品质量监督检验测试中心（郑州）测试：容重832g/L，粗蛋白（干基）15.2%，湿面筋33.2%，降落数值428s，沉淀值81.2mL，吸水量57.6%，形成时间7.2min，稳定时间21.4min,烘焙品质评分值86.7，出粉率71.9%。主要品质指标达强筋粉标准。",2009～2010年度参加省冬Ⅰ组引种试验，10点汇总，4点增产，6点减产，平均亩产474.7kg，比对照周麦18减产1.6%；2010～2011年度参加省冬Ⅱ组引种试验，11点汇总，8点增产，3点减产，平均亩产539.1kg，比对照周麦18增产0.8%。,1、播期与播量：播期应掌握在10月5-20日，建议适期晚播，要合理密植，亩播量一般掌握在10kg左右，晚播可适当增加播量。2、田间管理：①底肥：有机肥200kg，尿素15kg，二铵20kg，氯化钾15kg，硫酸锌1kg或45%小麦三元复合肥50kg；②浇足底墒水，粉碎秸秆杂草，整地质量达到“深。以4.5寸等行距或4:4:7三密一稀播种，缩小行距增加密度；③春季管理：早春中耕、化控、不浇返青水，化控掌握在3月上中旬为佳，亩用多效唑50-60克兑水30kg叶面喷施，预防倒伏、抵御气候影响。3月中下旬结合浇拔节水亩施尿素20kg，用5%井冈霉素150ml兑水30kg叶面喷施，预防纹枯病等病害发生；④中后期管理：4月底、5月初结合浇二次水亩施尿素7-8kg，注意中后期病虫害防治，亩用5%井冈霉素100ml+粉锈宁防治纹枯病和白粉病，用吡虫啉防治小麦蚜虫，每隔10天左右防治一次。中后期喷施叶面肥(麦健)，抗干热风，增加千粒重。,
豫审麦20190056,小麦,2019,河南省,河南粮征种业有限公司,否,西农979/8901-11-14,弱春性偏半冬品种（2016年冬春性鉴定结果为春性类，春播抽穗率33.5%），全生育期219.7～229.0天，平均熟期比对照品种偃展4110晚熟0.2天。幼苗半匍匐，叶色浓绿，苗势一般，分蘖力较强，成穗率一般。春季起身拔节早，两极分化快，耐倒春寒能力一般。株高75.7～84.6厘米，株型较松散，抗倒性一般。旗叶窄短，穗层整齐，熟相一般。穗近长方形，长芒，白壳，白粒，籽粒角质，饱满度一般。亩穗数36.5～42.9万，穗粒数31.0～37.3粒，千粒重32.1～37.7克。,2016～2017年度河南省强筋组区试，10点汇总，达标点率90%，平均亩产454.6公斤，比对照品种偃展4110增产1.3%；2017～2018年度续试，11点汇总，达标点率72.7%，平均亩产386.0公斤，比对照品种偃展4110增产0.7%；2017～2018年度生产试验，11点汇总，达标点率100%，平均亩产408.6公斤，比对照品种偃展4110增产3.8%。,适宜播种期10月中下旬，每亩适宜基本苗16～18万。注意防治蚜虫、赤霉病、条锈病、叶锈病和纹枯病等病虫害，注意预防倒春寒，注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）中晚茬地种植。
豫审麦20200031,小麦,2020,河南省,石家庄市藁城区农业科学研究所、中粮（新乡）小麦有限公司,否,030728/8901-11-14,半冬性品种，全生育期222.8～230.2天，平均熟期比对照品种周麦18早熟0.9天。幼苗半直立，叶色深绿，苗势壮，分蘖力较强。春季起身拔节早，两极分化快，抽穗早，耐倒春寒能力一般。株高77.3～83.0厘米，株型较松散，抗倒性一般。旗叶较宽，穗层较整齐，熟相好。穗纺锤形，长芒，白壳，白粒，籽粒角质，饱满度较好。亩穗数39.4～44.3万，穗粒数31.8～36.5粒，千粒重32.3～41.2克。,2016～2017年度河南省强筋组区试，10点汇总，达标点率60.0%，平均亩产456.9公斤，比对照品种周麦18减产9.6%；2017～2018年度续试，11点汇总，达标点率81.8%，平均亩产392.1公斤，比对照品种周麦18增产0.6%；2018～2019年度生产试验，10点汇总，达标点率90.0%，平均亩产571.0公斤，比对照品种周麦18增产0.1%。,适宜播种期10月上中旬，每亩适宜基本苗20万。注意防治蚜虫、赤霉病、条锈病、叶锈病、白粉病和纹枯病等病虫害，注意预防倒春寒，高水肥地块种植注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）早中茬地种植。
豫审麦20220001,小麦,2022,河南省,河南鑫谷丰农业科技有限公司,否,周13/矮抗58,半冬性品种，全生育期223.5～231.8天，平均熟期比对照品种百农207早熟0.2天。幼苗半直立，叶色深绿，苗势壮，分蘖力弱，成穗率较高，冬季抗寒性好。春季返青晚，起身慢，两极分化快，耐倒春寒能力一般。株高64.3～66.2厘米，株型较紧凑，抗倒性较好。旗叶短小、上冲，穗下节短，穗层整齐，熟相一般。穗纺锤形，长芒，白壳，白粒，籽粒半角质，饱满度好。亩穗数38.3～40.7万，穗粒数33.6～36.2粒，千粒重46.6～50.4克。抗病鉴定：中感条锈病、白粉病和纹枯病，高感叶锈病和赤霉病。品质结果：2019年、2020年检测，蛋白质含量14.4%、14.1%，容重786克/升、805克/升，湿面筋含量29.4%、33.4%，吸水量63.2毫升/100克、60.4毫升/100克，稳定时间3.1分钟、4.5分钟，拉伸面积34平方厘米、46平方厘米，最大拉伸阻力169EU、207EU。,2018～2019年度河南省冬水组区试，增产点率71.4%，平均亩产575.9公斤，比对照品种百农207增产2.1%；2019～2020年度续试，增产点率100.0%，平均亩产523.1公斤，比对照品种百农207增产5.4%；2020～2021年度生产试验，增产点率93.3%，平均亩产563.3公斤，比对照品种百农207增产5.2%。,适宜播种期10月上中旬，每亩适宜基本苗20～22万。注意防治蚜虫、赤霉病、叶锈病、条锈病、和白粉病，特别注意防治纹枯病和茎基腐病，预防倒春寒。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）高中水肥地块早中茬地种植。
豫审麦20220025,小麦,2022,河南省,河南泰禾种业有限公司,否,周麦18/豫教5号//周麦22 /07T189,半冬性品种，全生育期223.0～231.6天，平均熟期比对照品种百农207早熟0.5天。幼苗半直立，叶色深绿，苗势壮，分蘖力一般。春季拔节晚，两极分化快。株高80.6～83.4厘米，株型较松散，抗倒性中等。旗叶较大、斜上举，穗下节长，穗层较整齐，熟相一般。穗纺锤形，长芒，白壳，白粒，籽粒半角质，饱满度一般。亩穗数37.9～40.2万，穗粒数35.0～35.8粒，千粒重47.8～49.0克。抗病鉴定：中感条锈病、白粉病和纹枯病，高感叶锈病和赤霉病。品质结果：2019年、2020年检测，蛋白质含量14.0%、13.5%，容重783克/升、808克/升，湿面筋含量28.2%、30.6%，吸水量56.1毫升/100克、57.4毫升/100克，稳定时间2.4分钟、2.5分钟，拉伸面积36平方厘米、30平方厘米，最大拉伸阻力185EU、155EU。,2018～2019年度河南省冬水组区试，增产点率92.9%，平均亩产594.4公斤，比对照品种百农207增产5.4%；2019～2020年度续试，增产点率100.0%，平均亩产533.1公斤，比对照品种百农207增产8.3%；2019～2020年度生产试验，增产点率100.0%，平均亩产561.8公斤，比对照品种百农207增产4.7%。,适宜播种期10月上中旬，每亩适宜基本苗14～16万。注意防治蚜虫、赤霉病、叶锈病、条锈病、白粉病和纹枯病等病虫害，预防倒春寒，高水肥地块种植注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）高中水肥地块早中茬地种植。
